,-12.5,-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5
93.0,-130.7918,-130.3812,-129.9712,-129.5618,-129.153,-128.7449,-128.3374,-127.9306,-127.5245,-127.119,-126.7142,-126.3101,-125.9067,-125.504,-125.102,-124.7006,-124.3,-123.9002,-123.501,-123.1026,-122.7049,-122.308,-121.9119,-121.5165,-121.1218,-120.728,-120.3349,-119.9427,-119.5512,-119.1606,-118.7708,-118.3818,-117.9936,-117.6063,-117.2199,-116.8343,-116.4496,-116.0657,-115.6828,-115.3007,-114.9195,-114.5393,-114.16,-113.7816,-113.4041,-113.0277,-112.6521,-112.2776,-111.904,-111.5314,-111.1598,-110.7892,-110.4197,-110.0511,-109.6836,-109.3172,-108.9518,-108.5875,-108.2243,-107.8622,-107.5012,-107.1413,-106.7825,-106.4249,-106.0684
93.5,-131.0773,-130.6675,-130.2584,-129.8499,-129.4421,-129.0349,-128.6283,-128.2225,-127.8173,-127.4127,-127.0089,-126.6057,-126.2032,-125.8014,-125.4004,-125.0,-124.6004,-124.2014,-123.8033,-123.4058,-123.0091,-122.6132,-122.218,-121.8236,-121.43,-121.0372,-120.6451,-120.2539,-119.8635,-119.4738,-119.0851,-118.6971,-118.31,-117.9237,-117.5383,-117.1537,-116.7701,-116.3873,-116.0054,-115.6244,-115.2443,-114.8651,-114.4869,-114.1096,-113.7332,-113.3578,-112.9834,-112.6099,-112.2375,-111.866,-111.4955,-111.1261,-110.7576,-109.8902,-109.5239,-109.6586,-109.2943,-108.9312,-108.5691,-108.2081,-107.8483,-107.4895,-107.1319,-106.7755,-106.4202
94.0,-131.364,-130.9551,-130.5469,-130.1393,-129.7324,-129.3261,-128.9205,-128.5156,-128.1113,-127.7077,-127.3048,-126.9025,-126.501,-126.1002,-125.7,-125.3006,-124.902,-124.504,-124.1068,-123.7103,-123.3146,-122.9197,-122.5255,-122.1321,-121.7395,-121.3476,-120.9566,-120.5664,-120.177,-119.7884,-119.4006,-119.0137,-118.6276,-118.2423,-117.858,-117.4745,-117.0918,-116.7101,-115.8293,-115.9493,-115.5703,-115.1922,-114.8151,-114.4388,-114.0636,-113.6893,-113.3159,-112.9436,-112.5722,-112.2018,-111.8325,-111.4641,-110.5968,-109.2305,-108.8653,-102.0011,-109.638,-109.276,-108.9151,-108.5553,-108.1966,-107.839,-107.4826,-107.1273,-
94.5,-131.652,-131.244,-130.8367,-130.4301,-130.024,-129.6187,-129.214,-128.8099,-128.4066,-128.0039,-127.6019,-127.2006,-126.8,-126.4002,-126.001,-125.6025,-125.2048,-124.8079,-124.4116,-124.0161,-123.6214,-123.2274,-122.8342,-122.4418,-122.0502,-121.6594,-121.2693,-120.8801,-120.4917,-120.1041,-119.7174,-119.3315,-118.9464,-118.5622,-118.1789,-117.7964,-117.4149,-116.0342,-115.6544,-115.7755,-115.8976,-115.5206,-115.1445,-114.7693,-114.3951,-114.0219,-113.6497,-113.2784,-107.9081,-112.5389,-112.1706,-111.8034,-111.4372,-110.572,-102.7079,-95.3449,-102.483,-,-,-,-108.5461,-,-,-,-
95.0,-131.9413,-131.5342,-131.1278,-130.722,-130.3169,-129.9125,-129.5087,-129.1056,-128.7031,-128.3014,-127.9004,-127.5,-127.1004,-126.7014,-126.3032,-125.9057,-125.509,-125.1129,-124.7177,-124.3232,-123.9294,-123.5364,-123.1442,-122.7528,-122.3622,-121.9723,-121.5833,-121.1951,-120.8077,-120.4211,-120.0354,-119.6505,-119.2665,-118.8833,-118.0011,-118.1196,-117.2391,-115.8595,-115.9808,-116.603,-116.2261,-115.8501,-115.4751,-115.101,-114.7279,-114.3558,-113.9846,-106.1145,-103.2453,-107.8771,-112.51,-112.1439,-111.7788,-111.4148,-111.0518,-103.1899,-110.3291,-,-,-,-,-,-,-,-
95.5,-132.2318,-131.8256,-131.4201,-131.0153,-130.6111,-130.2075,-129.8047,-129.4025,-129.001,-128.6002,-128.2,-127.8006,-127.4019,-127.0039,-126.6067,-126.2101,-125.8143,-125.4193,-125.025,-124.6315,-124.2387,-123.8467,-123.4555,-123.065,-122.6754,-122.2865,-121.8985,-121.5113,-121.1249,-120.7394,-120.3547,-119.9708,-119.5878,-118.7057,-117.8245,-,-,-115.186,-116.8084,-114.4316,-116.5558,-116.1809,-115.807,-115.434,-115.0619,-114.6909,-111.8208,-108.9517,-106.0837,-113.2166,-112.8506,-112.4856,-112.1216,-111.7587,-111.3968,-111.036,-110.6763,-,-,-,-,-,-,-,-
96.0,-132.5236,-132.1183,-131.7137,-131.3097,-130.9065,-130.5038,-130.1019,-129.7006,-129.3,-128.9002,-128.501,-128.1025,-127.7047,-127.3077,-126.9114,-126.5158,-126.121,-125.7269,-125.3336,-124.941,-124.5492,-124.1582,-123.7679,-123.3785,-122.9898,-122.602,-122.215,-121.8288,-121.4434,-121.0589,-120.6752,-120.2924,-119.9104,-119.5293,-,-,-116.3913,-114.5138,-114.1372,-112.2615,-114.3867,-116.5129,-116.14,-115.7681,-115.3971,-115.0272,-114.6582,-111.7902,-113.9232,-113.5573,-113.1923,-112.8284,-112.4656,-112.1037,-111.743,-111.3833,-105.5248,-96.1673,-,-,-,-,-,-,-
96.5,-132.8166,-132.4122,-132.0085,-131.6055,-131.2031,-130.8014,-130.4003,-130.0,-129.6003,-129.2014,-128.8031,-128.4056,-128.0088,-127.6127,-127.2173,-126.8227,-126.4288,-126.0357,-125.6433,-125.2517,-124.8609,-124.4709,-124.0816,-123.6932,-123.3055,-122.9187,-122.5326,-122.1475,-121.7631,-121.3796,-120.9969,-120.6151,-120.2341,-,-,-,-109.7192,-108.8427,-116.9672,-115.0925,-117.2188,-116.8461,-116.4742,-108.6034,-115.7335,-115.3646,-114.9967,-114.6298,-114.2639,-113.8991,-113.5352,-113.1724,-112.8107,-112.45,-112.0904,-111.7318,-107.8744,-98.518,-,-,-,-,-,-,-
97.0,-133.1109,-132.7074,-132.3046,-131.9024,-131.501,-131.1002,-130.7,-130.3006,-129.9019,-129.5039,-129.1065,-128.7099,-128.3141,-127.9189,-127.5245,-127.1308,-126.7379,-126.3458,-125.9544,-125.5637,-125.1739,-124.7848,-124.3965,-124.0091,-123.6224,-123.2366,-122.8515,-122.4673,-122.084,-121.7015,-121.3198,-120.939,-,-,-,-,-94.5483,-99.6729,-112.7984,-117.9248,-112.5521,-112.1804,-109.3097,-101.4399,-108.5711,-115.2033,-114.8365,-114.9706,-114.6058,-114.2421,-113.8793,-113.5176,-113.157,-112.7974,-112.4389,-112.0814,-111.7251,-107.8699,-111.0158,-110.6628,-,-,-,-,-
97.5,-133.4063,-133.0038,-132.6018,-132.2006,-131.8,-131.4002,-131.001,-130.6025,-130.2046,-129.8075,-129.4112,-129.0155,-128.6206,-128.2264,-127.8329,-127.4402,-127.0482,-126.657,-126.2666,-125.8769,-125.488,-125.1,-124.7127,-124.3262,-123.9405,-123.5557,-123.1716,-122.7884,-122.4061,-122.0246,-121.6439,-,-,-,-,-,-97.8786,-105.0042,-117.6307,-105.7582,-102.8866,-102.516,-112.1463,-109.2776,-115.9098,-114.5431,-114.1774,-114.8126,-114.9489,-114.5862,-114.2246,-113.864,-113.5044,-113.1459,-112.7885,-112.4322,-112.077,-111.7229,-111.3699,-,-,-,-,-,-
98.0,-133.703,-133.3014,-132.9003,-132.5,-132.1003,-131.7014,-131.3031,-130.9055,-130.5086,-130.1125,-129.717,-129.3223,-128.9283,-128.535,-128.1425,-127.7507,-126.8597,-126.9695,-126.58,-126.1913,-125.8034,-125.4163,-125.03,-124.6445,-124.2598,-123.8759,-123.4929,-123.1107,-122.7294,-122.3489,-,-,-,-,-,-76.0843,-94.7101,-109.3367,-110.9643,-103.5928,-100.7222,-112.3527,-117.484,-117.1164,-116.7497,-115.8841,-115.5194,-115.6557,-115.2931,-114.9315,-114.5709,-114.2114,-113.853,-113.4956,-,-,-,-,-,-,-,-,-,-,-
98.5,-134.0009,-133.6001,-133.2,-132.8006,-132.4019,-132.0038,-131.6064,-131.2098,-130.8138,-130.4186,-130.024,-129.6302,-129.2372,-128.8449,-128.4533,-127.5625,-126.6724,-126.7831,-126.8946,-126.5069,-126.12,-125.7338,-125.3485,-124.964,-124.5803,-124.1974,-123.8154,-123.4342,-123.0539,-,-,-,-,-,-65.7901,-48.4159,-95.5427,-100.1704,-111.299,-106.4285,-105.5591,-112.1905,-,-,-,-116.7262,-,-116.0,-115.6384,-115.2779,-114.9184,-114.56,-,-,-,-,-,-,-,-,-,-,-,-,-
99.0,-134.3,-133.9001,-133.5009,-133.1024,-132.7046,-132.3074,-131.911,-131.5152,-131.1202,-130.7259,-130.3323,-129.9394,-129.5473,-129.1559,-128.7653,-128.3754,-127.4863,-127.598,-127.2105,-126.8237,-126.4377,-126.0526,-125.6682,-125.2847,-124.902,-124.5201,-124.139,-,-,-,-,-,-,733.0041,336.8782,-38.7487,-104.3765,-97.0052,-107.1349,-114.2655,-108.897,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99.5,-134.6003,-134.2013,-133.803,-133.4054,-133.0085,-132.6122,-132.2167,-131.8218,-131.4277,-131.0343,-130.6417,-130.2498,-129.8586,-129.4681,-129.0785,-128.6895,-128.3014,-127.914,-127.5274,-127.1417,-126.7567,-126.3725,-125.9891,-125.6065,-125.2248,-,-,-,-,-,-,-,-80.2017,339.1723,-51.9547,-7.0826,-70.7114,-112.8412,-117.4719,-119.6035,-,-,-,-,-117.7763,-117.4138,-117.0523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
