,-12.5,-12.0,-11.5,-11.0,-10.5,-10.0,-9.5,-9.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,2.0,2.5,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0
93.0,-7.2801,-6.8007,-6.3246,-5.8523,-5.3852,-4.9244,-4.4721,-4.0311,-3.6056,-3.2016,-2.8284,-2.5,-2.2361,-2.0616,-2.0,-2.0616,-2.2361,-2.5,-2.8284,-3.2016,-3.6056,-4.0311,-4.4721,-4.9244,-5.3852,-5.8523,-6.3246,-6.8007,-7.2801,-7.7621,-8.2462,-8.7321,-9.2195,-9.7082,-10.198,-10.6888,-11.1803,-11.6726,-12.1655,-12.659,-13.1529,-13.6473,-14.1421,-14.6373,-15.1327,-15.6285,-16.1245,-16.6208,-17.1172,-17.6139,-18.1108,-18.6078,-19.105,-19.6023,-20.0998,-20.5973,-21.095,-21.5928,-22.0907,-22.5887,-23.0868,-23.585,-24.0832,-24.5815,-25.0799,-28.2688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93.5,-7.1589,-6.6708,-6.1847,-5.7009,-5.2202,-4.7434,-4.272,-3.8079,-3.3541,-2.9155,-2.5,-2.1213,-1.8028,-1.5811,-1.5,-1.5811,-1.8028,-2.1213,-2.5,-2.9155,-3.3541,-3.8079,-4.272,-4.7434,-5.2202,-5.7009,-6.1847,-6.6708,-7.1589,-7.6485,-8.1394,-8.6313,-9.1241,-9.6177,-10.1119,-10.6066,-11.1018,-11.5974,-12.0934,-12.5897,-13.0863,-13.5831,-14.0801,-14.5774,-15.0748,-15.5724,-16.0702,-16.568,-17.066,-17.5642,-18.0624,-18.5607,-19.0591,-22.2481,-22.7467,-20.5548,-21.0535,-21.5523,-22.0511,-22.5499,-23.0489,-23.5478,-24.0468,-27.2364,-25.045,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94.0,-7.0711,-6.5765,-6.0828,-5.5902,-5.099,-4.6098,-4.1231,-3.6401,-3.1623,-2.6926,-2.2361,-1.8028,-1.4142,-1.118,-1.0,-1.118,-1.4142,-1.8028,-2.2361,-2.6926,-3.1623,-3.6401,-4.1231,-4.6098,-5.099,-5.5902,-6.0828,-6.5765,-7.0711,-7.5664,-8.0623,-8.5586,-9.0554,-9.5525,-10.0499,-10.5475,-11.0454,-11.5434,-14.7321,-12.5399,-13.0384,-13.537,-14.0357,-14.5344,-15.0333,-15.5322,-16.0312,-16.5303,-17.0294,-17.5285,-18.0278,-18.527,-21.7168,-22.2429,-22.7423,-23.4229,-21.0238,-21.5232,-22.0227,-22.5222,-23.0217,-23.5213,-26.7113,-27.2243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94.5,-7.0178,-6.5192,-6.0208,-5.5227,-5.0249,-4.5277,-4.0311,-3.5355,-3.0414,-2.5495,-2.0616,-1.5811,-1.118,-0.7071,-0.5,-0.7071,-1.118,-1.5811,-2.0616,-2.5495,-3.0414,-3.5355,-4.0311,-4.5277,-5.0249,-5.5227,-6.0208,-6.5192,-7.0178,-7.5166,-8.0156,-8.5147,-9.0139,-9.5131,-10.0125,-10.5119,-11.0114,-14.2148,-14.7143,-15.2005,-13.0096,-13.5093,-14.0089,-14.5086,-15.0083,-15.5081,-16.0078,-16.5076,-19.8208,-17.5071,-18.0069,-18.5068,-19.0066,-22.1969,-22.9047,-23.6131,-23.8901,-,-,-,-23.0054,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95.0,-7.0,-6.5,-6.0,-5.5,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,-1.5,-1.0,-0.5,100,-0.5,-1.0,-1.5,-2.0,-2.5,-3.0,-3.5,-4.0,-4.5,-5.0,-5.5,-6.0,-6.5,-7.0,-7.5,-8.0,-8.5,-9.0,-9.5,-12.6905,-10.5,-13.6905,-14.2173,-14.7039,-12.5,-13.0,-13.5,-14.0,-14.5,-15.0,-15.5,-16.0,-19.3841,-19.9566,-20.3134,-18.0,-18.5,-19.0,-19.5,-20.0,-23.3841,-21.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95.5,-7.0178,-6.5192,-6.0208,-5.5227,-5.0249,-4.5277,-4.0311,-3.5355,-3.0414,-2.5495,-2.0616,-1.5811,-1.118,-0.7071,-0.5,-0.7071,-1.118,-1.5811,-2.0616,-2.5495,-3.0414,-3.5355,-4.0311,-4.5277,-5.0249,-5.5227,-6.0208,-6.5192,-7.0178,-7.5166,-8.0156,-8.5147,-9.0139,-12.2036,-12.7164,-,-,-14.2553,-14.7009,-15.2544,-13.0096,-13.5093,-14.0089,-14.5086,-15.0083,-15.5081,-18.7522,-19.321,-19.8915,-17.5071,-18.0069,-18.5068,-19.0066,-19.5064,-20.0062,-20.5061,-21.006,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96.0,-7.0711,-6.5765,-6.0828,-5.5902,-5.099,-4.6098,-4.1231,-3.6401,-3.1623,-2.6926,-2.2361,-1.8028,-1.4142,-1.118,-1.0,-1.118,-1.4142,-1.8028,-2.2361,-2.6926,-3.1623,-3.6401,-4.1231,-4.6098,-5.099,-5.5902,-6.0828,-6.5765,-7.0711,-7.5664,-8.0623,-8.5586,-9.0554,-9.5525,-,-,-13.7763,-14.3152,-14.8134,-15.3533,-15.7828,-13.537,-14.0357,-14.5344,-15.0333,-15.5322,-16.0312,-19.2747,-17.0294,-17.5285,-18.0278,-18.527,-19.0263,-19.5256,-20.025,-20.5244,-23.8512,-24.6149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96.5,-7.1589,-6.6708,-6.1847,-5.7009,-5.2202,-4.7434,-4.272,-3.8079,-3.3541,-2.9155,-2.5,-2.1213,-1.8028,-1.5811,-1.5,-1.5811,-1.8028,-2.1213,-2.5,-2.9155,-3.3541,-3.8079,-4.272,-4.7434,-5.2202,-5.7009,-6.1847,-6.6708,-7.1589,-7.6485,-8.1394,-8.6313,-9.1241,-,-,-,-14.0292,-14.5394,-14.7973,-15.3341,-13.0863,-13.5831,-14.0801,-17.4615,-15.0748,-15.5724,-16.0702,-16.568,-17.066,-17.5642,-18.0624,-18.5607,-19.0591,-19.5576,-20.0562,-20.5548,-23.8253,-24.5832,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97.0,-7.2801,-6.8007,-6.3246,-5.8523,-5.3852,-4.9244,-4.4721,-4.0311,-3.6056,-3.2016,-2.8284,-2.5,-2.2361,-2.0616,-2.0,-2.0616,-2.2361,-2.5,-2.8284,-3.2016,-3.6056,-4.0311,-4.4721,-4.9244,-5.3852,-5.8523,-6.3246,-6.8007,-7.2801,-7.7621,-8.2462,-8.7321,-9.2195,-,-,-,-14.5943,-14.9054,-14.9929,-12.659,-15.9663,-16.4607,-17.0262,-17.7443,-18.0168,-18.319,-18.815,-16.6208,-17.1172,-17.6139,-18.1108,-18.6078,-19.105,-19.6023,-20.0998,-20.5973,-21.095,-24.3646,-22.0907,-22.5887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97.5,-7.433,-6.9642,-6.5,-6.0415,-5.5902,-5.1478,-4.717,-4.3012,-3.9051,-3.5355,-3.2016,-2.9155,-2.6926,-2.5495,-2.5,-2.5495,-2.6926,-2.9155,-3.2016,-3.5355,-3.9051,-4.3012,-4.717,-5.1478,-5.5902,-6.0415,-6.5,-6.9642,-7.433,-7.9057,-8.3815,-,-,-,-,-,-14.5945,-14.845,-14.9616,-15.7784,-16.3452,-16.8365,-17.0349,-17.598,-17.8974,-18.4176,-18.9114,-19.3788,-17.1828,-17.6777,-18.1728,-18.6682,-19.1638,-19.6596,-20.1556,-20.6519,-21.1483,-21.6449,-22.1416,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
